顾客编号,大类编码,大类名称,中类编码,中类名称,小类编码,小类名称,销售日期,销售月份,商品编码,规格型号,商品类型,单位,销售数量,商品单价,销售金额,是否促销
0,12,蔬果,1201,蔬菜,120109,其它蔬菜,20150101,201501,DW-1201090311, ,生鲜,个,8,2,16,否
0,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040026,散称,生鲜,千克,0.83,1.98,1.6434,否
0,13,熟食,1308,现制中式面点,130801,现制蒸类,20150101,201501,DW-1308010192,个,生鲜,个,4,0.5,2,否
0,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040031,散称,生鲜,千克,1.078,3.16,3.40648,否
0,20,粮油,2006,五谷杂粮,200601,散称白米,20150425,201504,DW-2006010001,散称,一般商品,千克,3.237,4.2,13.5954,否
1,20,粮油,2014,酱菜类,201401,榨菜,20150101,201501,DW-2014010019,60g,一般商品,袋,6,0.5,3,否
1,12,蔬果,1201,蔬菜,120103,芽菜,20150101,201501,DW-1201030002,散称,生鲜,千克,0.456,2.78,1.26768,否
1,20,粮油,2007,南北干货,200709,粉丝/条,20150101,201501,DW-2007090052,275g,一般商品,袋,1,5.7,5.7,否
1,12,蔬果,1201,蔬菜,120101,叶菜,20150101,201501,DW-1201010023,散称,生鲜,千克,0.91,2.56,2.3296,否
1,31,家居,3118,打扫用品,311801,手套,20150215,201502,DW-3118010082,MGEBM,一般商品,包,1,13.5,13.5,否
1,22,休闲,2202,糕点,220205,中式糕点,20150215,201502,DW-2202050141,散称,一般商品,KG,0.502,17.8,8.9356,是
1,22,休闲,2205,炒货,220502,带壳花生,20150215,201502,DW-2205020010,320g,一般商品,袋,1,13.9,13.9,是
2,15,日配,1505,冷藏乳品,150502,冷藏加味酸乳,20150101,201501,DW-1505020011,150g,一般商品,袋,1,2.4,2.4,否
2,12,蔬果,1201,蔬菜,120104,花果,20150101,201501,DW-1201040010,散称,生鲜,千克,0.708,2.58,1.82664,否
