类别,行政区,点评数,口味,环境,服务,人均消费,城市,经度,纬度
烧烤,浦东新区,176,8,8.6,7.9,6309,上海市,121.9678597,30.88447665
美食,闵行区,2,6.1,6.5,6.3,5657,上海市,121.9677809,30.88381825
粤菜,浦东新区,141,6.7,7.2,6.6,2912,上海市,121.933142,30.89322409
海鲜,浦东新区,76,7.2,7.2,7.3,2827,上海市,121.9260623,30.89986826
烧烤,浦东新区,600,7.2,7.6,7,2723,上海市,121.9258774,30.90109977
本菜,嘉定区,69,8.2,8.9,8.4,2601,上海市,121.925866,30.90638367
本菜,嘉定区,69,8.2,8.9,8.4,2590,上海市,121.925866,30.90638367
浙菜,浦东新区,21,7,7,6.9,2535,上海市,121.9235668,30.90046394
海鲜,浦东新区,46,6.1,6.2,6,2377,上海市,121.9226238,30.89948559
烧烤,浦东新区,4,6.9,6.9,6.9,2238,上海市,121.9225918,30.89900991
浙菜,浦东新区,54,7.1,7.1,7,2186,上海市,121.9225027,30.90187732
快餐,浦东新区,50,6.8,7,6.9,2145,上海市,121.9220313,30.89896156
西餐,浦东新区,1321,8.5,8.3,7.8,2145,上海市,121.9218625,30.89883681
西餐,浦东新区,1321,8.5,8.3,7.8,2070,上海市,121.9218625,30.89883681
西餐,浦东新区,636,7.6,9.1,8,2045,上海市,121.921295,30.89840868
西餐,浦东新区,636,7.6,9.1,8,2045,上海市,121.921295,30.89840868
西餐,浦东新区,4,7.1,7.1,7.1,2021,上海市,121.921241,30.89865659
粤菜,浦东新区,1421,7.4,7.7,7.5,1952,上海市,121.9211199,30.90117024
料理,浦东新区,251,7.7,7.4,7.8,1927,上海市,121.9209531,30.90110145
海鲜,浦东新区,336,7.5,7.5,7.3,1744,上海市,121.9207952,30.90122055
疆菜,浦东新区,1,6.9,6.9,6.9,1733,上海市,121.9206714,30.90034319
北菜,浦东新区,0,0,0,0,1675,上海市,121.9205592,30.90399516
北菜,浦东新区,0,0,0,0,1668,上海市,121.9205592,30.90399516
浙菜,浦东新区,302,7.2,7,6.8,1610,上海市,121.9204545,30.90105999
美食,浦东新区,1,7.2,6.8,6.8,1605,上海市,121.9204545,30.90086311
快餐,浦东新区,10,7.5,7.5,7.6,1602,上海市,121.9204375,30.90050434
浙菜,浦东新区,243,7.9,7.5,7.3,1602,上海市,121.9203087,30.89958501
啡厅,浦东新区,121,6.6,6.9,6.6,1580,上海市,121.9202718,30.89926423
快餐,浦东新区,41,6.5,6.5,6.5,1547,上海市,121.9202159,30.89828986
料理,浦东新区,62,7.7,7.7,7.7,1530,上海市,121.9202128,30.89952614
粤菜,浦东新区,115,6.2,6.3,6.4,1480,上海市,121.9202088,30.89910439
火锅,浦东新区,259,6.8,6.9,6.8,1469,上海市,121.9201878,30.89908143
湘菜,浦东新区,606,7.2,7.3,7.2,1449,上海市,121.920108,30.89787322
浙菜,浦东新区,335,6.9,7.2,7.1,1449,上海市,121.9197896,30.9052402
啡厅,浦东新区,13,7.5,7.5,7.5,1412,上海市,121.9178506,30.88596736
本菜,浦东新区,0,0,0,0,1412,上海市,121.9176016,30.88743572
美食,浦东新区,4,7.4,7.2,7.4,1394,上海市,121.9170283,30.88354151
海鲜,浦东新区,43,7.3,7.3,7.4,1394,上海市,121.9166172,30.88732165
粤菜,浦东新区,0,0,0,0,1387,上海市,121.9166053,30.88634623
海鲜,浦东新区,9,7.4,7.6,7.6,1385,上海市,121.9165933,30.88731568
快餐,浦东新区,6,7.7,7.4,7.7,1385,上海市,121.9161286,30.88655751
疆菜,浦东新区,4,6,6,6,1385,上海市,121.9161286,30.88655751
美食,浦东新区,19,7,6.9,7,1385,上海市,121.9158999,30.88454487
川菜,浦东新区,8,7.2,7.2,7.3,1308,上海市,121.9158867,30.88721432
火锅,浦东新区,483,8.4,8.3,8.4,1270,上海市,121.9158867,30.88721432
火锅,浦东新区,9,7.4,7.1,7.1,1216,上海市,121.9158867,30.88721432
助餐,浦东新区,60,7,7.7,7.6,1205,上海市,121.9158867,30.88721432
烧烤,浦东新区,0,0,0,0,1197,上海市,121.9158867,30.88721432
美食,浦东新区,13,7.5,7.5,7.5,1186,上海市,121.9158867,30.88721432
啡厅,浦东新区,166,7,7.6,6.9,1179,上海市,121.9158867,30.88721432
助餐,浦东新区,25,6.6,7.1,7.2,1176,上海市,121.9157347,30.88749229
助餐,浦东新区,25,6.6,7.1,7.2,1161,上海市,121.9157347,30.88749229
龙虾,浦东新区,0,0,0,0,1151,上海市,121.9157347,30.88749229
助餐,浦东新区,25,6.6,7.1,7.2,1150,上海市,121.9157347,30.88749229
助餐,浦东新区,0,0,0,0,1150,上海市,121.9157347,30.88749229
助餐,浦东新区,0,0,0,0,1150,上海市,121.9157347,30.88749229
北菜,浦东新区,3,7.2,7,7.2,1150,上海市,121.9156478,30.88716355
料理,浦东新区,2,7,7,7,1136,上海市,121.9156478,30.88716355
西餐,浦东新区,5,7.5,7.5,7.7,1128,上海市,121.9156478,30.88716355
海鲜,浦东新区,119,7.2,7.1,7.3,1127,上海市,121.9147084,30.88545828
川菜,浦东新区,62,6.8,6.8,6.6,1127,上海市,121.9144155,30.88592823
川菜,浦东新区,1,7.4,7.4,7.4,1127,上海市,121.9142536,30.88593335
川菜,浦东新区,2,7.2,7.2,7.2,1126,上海市,121.9142536,30.88593335
川菜,浦东新区,2,7.3,7.2,7.3,1123,上海市,121.9142536,30.88593335
烧烤,浦东新区,2,7.4,7.2,7.4,1108,上海市,121.9142536,30.88593335
龙虾,浦东新区,2,7,7.1,7,1108,上海市,121.9142416,30.88572948
龙虾,浦东新区,0,0,0,0,1090,上海市,121.9142416,30.88572948
龙虾,浦东新区,0,0,0,0,1088,上海市,121.9142416,30.88572948
海鲜,浦东新区,1,7.1,7.1,7.1,1084,上海市,121.9139487,30.88591659
料理,浦东新区,0,0,0,0,1084,上海市,121.9139238,30.88556381
浙菜,浦东新区,18,7.3,7.4,7.4,1076,上海市,121.9137978,30.88568983
常菜,浦东新区,0,0,0,0,1071,上海市,121.9135529,30.88625867
料理,浦东新区,0,0,0,0,1071,上海市,121.9116527,30.88466388
海鲜,浦东新区,0,0,0,0,1071,上海市,121.9105672,30.88328634
川菜,浦东新区,34,6.9,7.1,6.5,1070,上海市,121.9102923,30.88333946
烧烤,浦东新区,3,6.9,6.9,6.9,1068,上海市,121.9100773,30.88357744
烧烤,浦东新区,1,7,7,7,1068,上海市,121.9099593,30.88347657
快餐,浦东新区,2,7.7,6.9,6.9,1066,上海市,121.9096544,30.8833608
西餐,浦东新区,78,7.5,7.5,7.4,1065,上海市,121.9087437,30.88200307
西餐,浦东新区,78,7.5,7.5,7.4,1065,上海市,121.9087437,30.88200307
